canonical_brand,aliases,domains,score_hint,risk_level,category,notes
microsoft,msft|ms|azure|office 365|o365|linkedin|github|visual studio|bing|xbox|skype,microsoft.com|azure.com|office.com|linkedin.com|github.com|xbox.com|bing.com,85,medium,tech,Large family with many sub-brands; needs corroborating evidence beyond name alone
google,alphabet|youtube|gmail|android|waymo|deepmind|google cloud|gcp,google.com|alphabet.com|youtube.com|googl.com|gcp.google.com|waymo.com|deepmind.com,85,medium,tech,Parent/child brand complexity; android and gmail are common words
amazon,aws|amazon web services|whole foods|twitch|imdb|ring|alexa|zappos,amazon.com|aws.amazon.com|amazonaws.com|wholefoodsmarket.com|twitch.tv|imdb.com,85,medium,tech,Very large family; many unrelated divisions; risk of false match
apple,aapl,apple.com|apple.co,70,high,tech,Common English word; high false-positive risk
meta,facebook|instagram|whatsapp|oculus|meta platforms,meta.com|facebook.com|instagram.com|whatsapp.com|oculus.com,85,medium,tech,Rebranded 2021; facebook still widely used
ibm,international business machines|big blue|ibm cloud|red hat|kyndryl,ibm.com|redhat.com,85,medium,tech,Kyndryl spun off 2021; complex portfolio
oracle,orcl|oracle cloud|netsuite|java,oracle.com|netsuite.com|java.com,85,medium,tech,Large acquisition history; medium complexity
sap,sap se|s/4hana|successfactors|ariba|concur,sap.com|successfactors.com|ariba.com|concur.com,85,medium,tech,Complex product family; distinctive brand name
salesforce,sfdc|crm|slack|tableau|mulesoft,salesforce.com|slack.com|tableau.com|mulesoft.com,85,low,tech,Distinctive brand; known acquisition trail
servicenow,snow|service now,servicenow.com,85,low,tech,Distinctive SaaS brand; limited ambiguity
adobe,adobe systems|adobecc|photoshop|marketo|figma|acrobat,adobe.com|marketo.com|figma.com,85,low,tech,Distinctive brand; creative software leader
cisco,cisco systems|webex|meraki|appd,cisco.com|webex.com|meraki.com,85,medium,tech,Large portfolio; Webex/Meraki are common-word sub-brands
intel,intel corporation|mobileye,intel.com|mobileye.com,85,medium,tech,Distinctive but mobileye is a subsidiary; hardware ecosystem
amd,advanced micro devices|radeon|ryzen,amd.com,85,medium,tech,Common tech acronym; GPU/CPU brand
nvidia,nvda|cuda|geforce,nvidia.com,85,low,tech,Distinctive brand; dominant in AI/GPU space
broadcom,brcm|ca technologies|symantec,broadcom.com|ca.com,85,medium,tech,Complex M&A history; CA and Symantec absorbed
qualcomm,qcom|snapdragon,qualcomm.com,85,low,tech,Distinctive brand; mobile chip leader
dell,dell technologies|emc|vmware|alienware|secureworks,dell.com|emc.com|vmware.com|alienware.com|secureworks.com,85,medium,tech,Large portfolio; VMware partially spun out
hp,hewlett packard|hp inc|hpq,hp.com,70,high,tech,Very short name; ambiguous with many uses
hpe,hewlett packard enterprise|hpe aruba,hpe.com|arubanetworks.com,85,medium,tech,Split from HP 2015; enterprise IT focus
lenovo,lenovo group,lenovo.com,85,low,tech,Distinctive brand; global PC/device leader
vmware,vmw|broadcom vmware,vmware.com,85,medium,tech,Now part of Broadcom; still used as brand
workday,wday,workday.com,85,low,tech,Distinctive HCM/ERP brand
intuit,quickbooks|turbotax|mint|mailchimp,intuit.com|quickbooks.com|turbotax.com|mailchimp.com,85,low,tech,Distinctive brand; strong product family
atlassian,jira|confluence|trello|bitbucket,atlassian.com|jira.com|trello.com|bitbucket.org,85,low,tech,Distinctive brand; well-known dev tools
shopify,shop pay,shopify.com,85,low,tech,Distinctive ecommerce brand
zoom,zoom video|zoom communications,zoom.us,85,low,tech,Distinctive brand in context of video conferencing
slack,salesforce slack,slack.com,85,low,tech,Subsidiary of Salesforce; distinctive
dropbox,dbx,dropbox.com,85,low,tech,Distinctive cloud storage brand
snowflake,snow,snowflake.com,85,low,tech,Distinctive data cloud brand
databricks,dbrx,databricks.com,85,low,tech,Distinctive data/AI platform brand
palantir,pltr|gotham|foundry,palantir.com,85,low,tech,Distinctive brand; government/enterprise data
crowdstrike,crwd|falcon,crowdstrike.com,85,low,tech,Distinctive cybersecurity brand
okta,auth0,okta.com|auth0.com,85,low,tech,Distinctive identity platform
cloudflare,cloudflare workers,cloudflare.com,85,low,tech,Distinctive CDN/security brand
twilio,twlo,twilio.com,85,low,tech,Distinctive comms API brand
hubspot,hubs,hubspot.com,85,low,tech,Distinctive CRM/marketing brand
stripe,stripe payments,stripe.com,85,low,tech,Distinctive payments brand
paypal,venmo|braintree|xoom,paypal.com|venmo.com|braintree.com,85,medium,tech,Large payments family; Venmo/Braintree sub-brands
ebay,ebay inc,ebay.com,85,low,tech,Distinctive marketplace brand
tiktok,bytedance|douyin,tiktok.com|bytedance.com,85,medium,tech,TikTok is ByteDance subsidiary; Chinese parent adds complexity
bytedance,tiktok|douyin,bytedance.com|tiktok.com,85,medium,tech,Chinese parent of TikTok; medium complexity
tencent,qq|wechat|weixin,tencent.com|qq.com|wechat.com,85,medium,tech,Large Chinese conglomerate; WeChat is dominant product
alibaba,aliyun|taobao|tmall|aliexpress|ant group,alibaba.com|alibabacloud.com|taobao.com|tmall.com|aliexpress.com,85,medium,tech,Large Chinese conglomerate; many sub-brands
baidu,baidu inc,baidu.com,85,medium,tech,Chinese tech giant; limited global alias complexity
xiaomi,mi|redmi,xiaomi.com|mi.com,85,medium,tech,Chinese device brand; Mi is common sub-brand
huawei,huawei technologies|honor,huawei.com|honor.com,85,medium,tech,Geopolitical risk; Honor is spun-off sub-brand
samsung,samsung electronics|samsung sds,samsung.com,85,medium,tech,Large Korean conglomerate; many divisions
sony,sony corporation|playstation|sony pictures|sony music,sony.com|playstation.com,85,medium,tech,Large conglomerate; entertainment plus electronics
panasonic,panasonic holdings,panasonic.com,85,low,tech,Distinctive Japanese electronics brand
canon,canon inc,canon.com,85,low,tech,Distinctive imaging brand
hitachi,hitachi ltd,hitachi.com,85,medium,tech,Large Japanese conglomerate; many divisions
toshiba,toshiba corporation,toshiba.com,85,medium,tech,Large Japanese conglomerate; restructuring
nec,nippon electric company,nec.com,85,medium,tech,Short acronym; Japanese IT/telecom
fujitsu,fujitsu limited,fujitsu.com,85,low,tech,Distinctive Japanese IT brand
block,square|cash app|spiral,block.xyz|squareup.com|cash.app,85,medium,tech,Rebranded from Square 2021; Square still widely used
pfizer,pfe,pfizer.com,85,low,pharma,Distinctive global pharma brand
merck,msd|merck & co|merck sharp & dohme,merck.com,85,medium,pharma,US Merck (Merck & Co); separate from Merck KGaA Germany; MSD used outside US
merck kgaa,emd|merck group|emd serono|sigma aldrich|merck millipore|emd millipore,merckgroup.com|emdgroup.com|sigmaaldrich.com|emdserono.com|emdmillipore.com,85,medium,pharma,German Merck; distinct legal entity from US Merck; large specialty chemicals/pharma portfolio
johnson & johnson,j&j|jnj|janssen|kenvue|neutrogena|tylenol,jnj.com|janssen.com|kenvue.com,85,low,pharma,Distinctive brand; Janssen is pharma subsidiary; Kenvue spun off consumer division
novartis,nvs|sandoz,novartis.com|sandoz.com,85,low,pharma,Distinctive Swiss pharma; Sandoz generics subsidiary
roche,roche holding|genentech|chugai,roche.com|genentech.com|chugai-pharm.co.jp,85,low,pharma,Distinctive Swiss pharma; Genentech is fully owned US subsidiary
sanofi,sny|genzyme|aventis,sanofi.com|genzyme.com,85,low,pharma,Distinctive French pharma; Genzyme absorbed
gsk,glaxosmithkline|haleon,gsk.com|haleon.com,85,low,pharma,Rebranded from GlaxoSmithKline; Haleon spun off consumer division
astrazeneca,azn|az,astrazeneca.com,85,low,pharma,Distinctive brand; az is 2-char but brand is globally known
bayer,bayer ag|bayer cropscience,bayer.com,85,medium,pharma,Distinctive but acquired Monsanto; complex portfolio
boehringer ingelheim,bi|boehringer,boehringer-ingelheim.com,85,low,pharma,Distinctive private pharma; low ambiguity
eli lilly,lly|lilly,lilly.com,85,low,pharma,Distinctive pharma; Lilly is common shorthand
abbvie,abbv|imbruvica|humira,abbvie.com,85,low,pharma,Distinctive brand; spun from Abbott 2013
amgen,amgn,amgen.com,85,low,pharma,Distinctive biotech brand
bristol myers squibb,bms|bmy|mead johnson,bms.com|bristolmyerssquibb.com,85,low,pharma,Distinctive brand; BMS widely used
gilead,gild|gilead sciences,gilead.com,85,low,pharma,Distinctive biotech brand
biogen,biib,biogen.com,85,low,pharma,Distinctive biotech brand
moderna,mrna,moderna.com,85,low,pharma,Distinctive mRNA pharma brand
