alias,canonical_brand,score_hint,risk_level,category,notes
msft,microsoft,85,medium,tech,Stock ticker; widely used
ms,microsoft,70,medium,tech,2-char abbreviation; ambiguous (also Morgan Stanley)
azure,microsoft,70,medium,tech,Cloud platform; ambiguous without corroboration
office 365,microsoft,85,medium,tech,SaaS productivity suite
o365,microsoft,85,medium,tech,Short form of Office 365
linkedin,microsoft,85,medium,tech,Acquired 2016; distinctive sub-brand
github,microsoft,85,medium,tech,Acquired 2018; distinctive developer platform
visual studio,microsoft,85,medium,tech,Microsoft IDE brand
windows,microsoft,70,medium,tech,OS brand; common English word
bing,microsoft,85,medium,tech,Microsoft search engine; distinctive
xbox,microsoft,85,medium,tech,Microsoft gaming brand; distinctive
skype,microsoft,85,medium,tech,Acquired VoIP brand
teams,microsoft,70,medium,tech,Collaboration tool; common English word; needs context
goog,google,85,medium,tech,Stock ticker
googl,google,85,medium,tech,Stock ticker class A shares
alphabet,google,85,medium,tech,Parent company since 2015
youtube,google,85,medium,tech,Acquired 2006; globally distinctive video platform
gmail,google,85,medium,tech,Google email service; distinctive
android,google,70,high,tech,Mobile OS; common platform word used broadly
google cloud,google,85,medium,tech,Google cloud services division
gcp,google,85,medium,tech,Google Cloud Platform acronym
waymo,google,85,medium,tech,Alphabet self-driving subsidiary
deepmind,google,85,medium,tech,Alphabet AI research subsidiary
aws,amazon,85,medium,tech,Amazon Web Services; globally recognized
amazon web services,amazon,85,medium,tech,Full name of AWS
whole foods,amazon,85,medium,food,Acquired 2017; grocery chain
twitch,amazon,85,medium,tech,Acquired 2014; game streaming platform
imdb,amazon,85,medium,media,Acquired 1998; movie database
ring,amazon,85,medium,tech,Smart home/doorbell brand
alexa,amazon,70,medium,tech,Amazon voice assistant; also a common first name
zappos,amazon,85,medium,retail,Acquired 2009; online shoe retailer
aapl,apple,70,high,tech,Stock ticker for Apple; high risk due to common word
iphone,apple,70,high,tech,Apple smartphone; high risk parent
ipad,apple,70,high,tech,Apple tablet; high risk parent
mac,apple,70,high,tech,Apple computer line; very common word
macos,apple,70,high,tech,Apple operating system
ios,apple,70,high,tech,Apple mobile OS; 3-char ambiguous
facebook,meta,85,medium,tech,Legacy brand; Meta rebranded 2021
instagram,meta,85,medium,tech,Acquired 2012; photo sharing platform
whatsapp,meta,85,medium,tech,Acquired 2014; messaging platform
oculus,meta,85,medium,tech,VR hardware brand
meta platforms,meta,85,medium,tech,Full legal name of parent company
ibm cloud,ibm,85,medium,tech,IBM cloud services
red hat,ibm,85,medium,tech,Acquired 2019; Linux/open source brand
kyndryl,ibm,85,medium,tech,Spun off IT infrastructure services 2021
big blue,ibm,85,medium,tech,Informal nickname for IBM
international business machines,ibm,85,medium,tech,Full legal name of IBM
orcl,oracle,85,medium,tech,Stock ticker for Oracle
oracle cloud,oracle,85,medium,tech,Oracle cloud services
netsuite,oracle,85,medium,tech,Acquired 2016; ERP cloud software
java,oracle,70,medium,tech,Programming language; Oracle owns brand
sap se,sap,85,medium,tech,Full legal entity name for SAP
s/4hana,sap,85,medium,tech,SAP main ERP product
successfactors,sap,85,medium,tech,Acquired 2012; HR cloud software
ariba,sap,85,medium,tech,Acquired 2012; procurement platform
concur,sap,85,medium,tech,Acquired 2014; expense management
sfdc,salesforce,85,low,tech,Internal/trading code for Salesforce
crm,salesforce,70,low,tech,Salesforce stock ticker; also generic term
slack,salesforce,85,low,tech,Acquired 2021; team messaging platform
tableau,salesforce,85,low,tech,Acquired 2019; data visualization
mulesoft,salesforce,85,low,tech,Acquired 2018; integration platform
snow,servicenow,85,low,tech,Stock ticker; context-dependent
service now,servicenow,85,low,tech,Space-separated variant
adobe systems,adobe,85,low,tech,Former full legal name
photoshop,adobe,85,low,tech,Flagship creative software; distinctive
marketo,adobe,85,low,tech,Acquired 2018; marketing automation
figma,adobe,85,low,tech,Associated with Adobe; design platform
acrobat,adobe,85,low,tech,Adobe PDF software; distinctive brand
cisco systems,cisco,85,medium,tech,Full legal name
webex,cisco,85,medium,tech,Video conferencing brand
meraki,cisco,85,medium,tech,Acquired 2012; cloud-managed IT
intel corporation,intel,85,medium,tech,Full legal name
mobileye,intel,85,medium,tech,Acquired 2017; autonomous driving
advanced micro devices,amd,85,medium,tech,Full legal name for AMD
radeon,amd,85,medium,tech,AMD GPU brand
ryzen,amd,85,medium,tech,AMD CPU brand
nvda,nvidia,85,low,tech,Stock ticker for Nvidia
cuda,nvidia,85,low,tech,Nvidia parallel computing platform
geforce,nvidia,85,low,tech,Nvidia consumer GPU brand
brcm,broadcom,85,medium,tech,Former stock ticker
ca technologies,broadcom,85,medium,tech,Acquired CA Technologies 2018
symantec,broadcom,85,medium,tech,Acquired enterprise security division
qcom,qualcomm,85,low,tech,Stock ticker for Qualcomm
snapdragon,qualcomm,85,low,tech,Mobile processor brand; distinctive
dell technologies,dell,85,medium,tech,Full corporate name post-merger
emc,dell,85,medium,tech,Acquired 2016; storage brand
alienware,dell,85,medium,tech,Gaming PC sub-brand; distinctive
secureworks,dell,85,medium,tech,Cybersecurity subsidiary
hpq,hp,70,high,tech,Stock ticker for HP Inc; HP is very short
hewlett packard,hp,70,high,tech,Former full name
hp inc,hp,70,high,tech,Current legal name for consumer/PC HP
hewlett packard enterprise,hpe,85,medium,tech,Full legal name of HPE
hpe aruba,hpe,85,medium,tech,HPE networking sub-brand
lenovo group,lenovo,85,low,tech,Full holding company name
vmw,vmware,85,medium,tech,Former stock ticker
broadcom vmware,vmware,85,medium,tech,Current naming post-Broadcom acquisition
wday,workday,85,low,tech,Stock ticker for Workday
quickbooks,intuit,85,low,tech,Flagship accounting software
turbotax,intuit,85,low,tech,Tax preparation software
mint,intuit,85,low,tech,Personal finance tool
mailchimp,intuit,85,low,tech,Acquired 2021; email marketing
jira,atlassian,85,low,tech,Project tracking tool; distinctive
confluence,atlassian,85,low,tech,Wiki/documentation tool; distinctive
trello,atlassian,85,low,tech,Acquired 2017; kanban tool
bitbucket,atlassian,85,low,tech,Code repository; distinctive
shop pay,shopify,85,low,tech,Shopify checkout/payments brand
zoom video,zoom,85,low,tech,Full company name variant
zoom communications,zoom,85,low,tech,Communications brand
dbx,dropbox,85,low,tech,Stock ticker for Dropbox
pltr,palantir,85,low,tech,Stock ticker for Palantir
gotham,palantir,85,low,tech,Palantir government analytics platform
foundry,palantir,85,low,tech,Palantir enterprise analytics platform
crwd,crowdstrike,85,low,tech,Stock ticker for CrowdStrike
falcon,crowdstrike,85,low,tech,CrowdStrike security platform
auth0,okta,85,low,tech,Acquired 2021; developer identity platform
cloudflare workers,cloudflare,85,low,tech,Serverless compute platform
twlo,twilio,85,low,tech,Stock ticker for Twilio
hubs,hubspot,85,low,tech,Stock ticker shorthand for HubSpot
stripe payments,stripe,85,low,tech,Full service description
venmo,paypal,85,medium,tech,Acquired 2013; P2P payments app
braintree,paypal,85,medium,tech,Acquired 2013; payment gateway
xoom,paypal,85,medium,tech,Acquired 2015; international money transfer
ebay inc,ebay,85,low,tech,Full legal name
douyin,tiktok,85,medium,tech,TikTok Chinese domestic version
qq,tencent,85,medium,tech,Tencent messaging/social platform
wechat,tencent,85,medium,tech,Dominant Chinese messaging app; distinctive
weixin,tencent,85,medium,tech,Chinese name for WeChat
aliyun,alibaba,85,medium,tech,Alibaba cloud services China
taobao,alibaba,85,medium,tech,C2C e-commerce platform
tmall,alibaba,85,medium,tech,B2C e-commerce platform
aliexpress,alibaba,85,medium,tech,International retail platform
ant group,alibaba,85,medium,tech,Fintech affiliate; Alipay parent
mi,xiaomi,85,medium,tech,Xiaomi consumer electronics sub-brand
redmi,xiaomi,85,medium,tech,Xiaomi budget phone line
